episode,score,mean_score,epsilon,loss
398,0,0.0000,0.8050,0.004182
399,0,0.0000,0.8045,0.002659
400,0,0.0000,0.8040,0.003584
401,0,0.0000,0.8035,0.023227
402,0,0.0000,0.8030,0.007127
403,0,0.0000,0.8025,0.009764
404,0,0.0000,0.8020,0.001871
405,0,0.0000,0.8015,0.011662
406,0,0.0000,0.8011,0.002488
407,0,0.0000,0.8006,0.483266
408,0,0.0000,0.8001,0.003112
409,0,0.0000,0.7996,0.006673
410,0,0.0000,0.7991,0.009366
411,0,0.0000,0.7986,0.002633
412,0,0.0000,0.7981,0.006393
413,0,0.0000,0.7976,0.016642
414,0,0.0000,0.7971,0.002384
415,0,0.0000,0.7967,0.002270
416,0,0.0000,0.7962,0.003169
417,0,0.0000,0.7957,0.015154
418,0,0.0000,0.7952,0.007821
419,0,0.0000,0.7947,0.004072
420,0,0.0000,0.7942,0.005805
421,0,0.0000,0.7937,0.028972
422,0,0.0000,0.7932,0.006488
423,0,0.0000,0.7927,0.009116
424,0,0.0000,0.7922,0.003392
425,0,0.0000,0.7917,0.004867
426,0,0.0000,0.7913,0.007711
427,0,0.0000,0.7908,0.020318
428,0,0.0000,0.7903,0.017012
429,0,0.0000,0.7898,0.003081
430,0,0.0000,0.7893,0.017924
431,0,0.0000,0.7888,0.005992
432,0,0.0000,0.7883,0.007301
433,0,0.0000,0.7878,0.008260
434,0,0.0000,0.7873,0.003619
435,0,0.0000,0.7869,0.003156
436,0,0.0000,0.7864,0.003797
437,0,0.0000,0.7859,0.008888
438,0,0.0000,0.7854,0.010081
439,0,0.0000,0.7849,0.004769
440,0,0.0000,0.7844,0.020987
441,0,0.0000,0.7839,0.013474
442,0,0.0000,0.7834,0.030392
443,0,0.0000,0.7829,0.007385
444,0,0.0000,0.7824,0.005868
445,0,0.0000,0.7820,0.023557
446,0,0.0000,0.7815,0.003780
447,0,0.0000,0.7810,0.016878
448,0,0.0000,0.7805,0.011703
449,0,0.0000,0.7800,0.004162
450,0,0.0000,0.7795,0.013429
451,0,0.0000,0.7790,0.003163
452,0,0.0000,0.7785,0.382401
453,0,0.0000,0.7780,0.004088
454,0,0.0000,0.7775,0.021156
455,0,0.0000,0.7771,0.004625
456,0,0.0000,0.7766,0.002932
457,0,0.0000,0.7761,0.014025
458,0,0.0000,0.7756,0.035712
459,0,0.0000,0.7751,0.009847
460,0,0.0000,0.7746,0.006155
461,0,0.0000,0.7741,0.003311
462,0,0.0000,0.7736,0.004804
463,0,0.0000,0.7731,0.007151
464,0,0.0000,0.7726,0.004155
465,0,0.0000,0.7722,0.008045
466,0,0.0000,0.7717,0.012503
467,0,0.0000,0.7712,0.004416
468,0,0.0000,0.7707,0.008866
469,0,0.0000,0.7702,0.013281
470,0,0.0000,0.7697,0.003478
471,0,0.0000,0.7692,0.002763
472,0,0.0000,0.7687,0.010374
473,0,0.0000,0.7682,0.002876
474,0,0.0000,0.7677,0.004477
475,0,0.0000,0.7672,0.006067
476,0,0.0000,0.7668,0.004681
477,0,0.0000,0.7663,0.002367
478,0,0.0000,0.7658,0.024848
479,0,0.0000,0.7653,0.013464
480,0,0.0000,0.7648,0.006724
481,0,0.0000,0.7643,0.005710
482,0,0.0000,0.7638,0.007410
483,0,0.0000,0.7633,0.009549
484,0,0.0000,0.7628,0.009848
485,0,0.0000,0.7623,0.006921
486,0,0.0000,0.7619,0.009955
487,0,0.0000,0.7614,0.003050
488,0,0.0000,0.7609,0.011491
489,0,0.0000,0.7604,0.017147
490,0,0.0000,0.7599,0.008380
491,0,0.0000,0.7594,0.005490
492,0,0.0000,0.7589,0.008698
493,0,0.0000,0.7584,0.015727
494,0,0.0000,0.7579,0.003740
495,0,0.0000,0.7574,0.004327
496,0,0.0000,0.7570,0.009441
497,0,0.0000,0.7565,0.291173
498,0,0.0000,0.7560,0.047574
499,0,0.0000,0.7555,0.005708
500,0,0.0000,0.7550,0.002848
501,0,0.0000,0.7545,0.014678
502,0,0.0000,0.7540,0.004039
503,0,0.0000,0.7535,0.003752
504,0,0.0000,0.7530,0.005605
505,0,0.0000,0.7526,0.006386
506,0,0.0000,0.7521,0.012771
507,0,0.0000,0.7516,0.009356
508,0,0.0000,0.7511,0.042620
509,0,0.0000,0.7506,0.005006
510,0,0.0000,0.7501,0.009492
511,0,0.0000,0.7496,0.012748
512,0,0.0000,0.7491,0.004996
513,0,0.0000,0.7486,0.006907
514,0,0.0000,0.7481,0.009715
515,0,0.0000,0.7476,0.007578
